Assessment Name,URL,Remote Testing Support,Adaptive Support,Duration,Test Type,Description
Verify G+ Verbal Reasoning,https://www.shl.com/en/assessments/verify-g-verbal-reasoning/,Yes,Yes,20 minutes,Cognitive Ability,Measures ability to evaluate written information and make accurate conclusions.
Verify G+ Numerical Reasoning,https://www.shl.com/en/assessments/verify-g-numerical-reasoning/,Yes,Yes,25 minutes,Cognitive Ability,"Assesses numerical data interpretation, including charts and graphs."
Occupational Personality Questionnaire (OPQ),https://www.shl.com/en/assessments/occupational-personality-questionnaire-opq/,Yes,No,30-40 minutes,Personality,Explores behavioral styles and personality traits in workplace context.
Situational Judgement Test,https://www.shl.com/en/assessments/situational-judgement-test/,Yes,Yes,20-30 minutes,Behavioral,Evaluates responses to hypothetical workplace scenarios.
Inductive Reasoning,https://www.shl.com/en/assessments/inductive-reasoning/,Yes,Yes,20 minutes,Cognitive Ability,Assesses logical thinking and pattern recognition.
Motivation Questionnaire,https://www.shl.com/en/assessments/motivation-questionnaire/,Yes,No,20-25 minutes,Personality,Identifies motivational drivers and cultural fit.
Mechanical Comprehension,https://www.shl.com/en/assessments/mechanical-comprehension/,Yes,Yes,15 minutes,Cognitive Ability,Measures understanding of mechanical and physical concepts.
Customer Service Scenario Assessment,https://www.shl.com/en/assessments/customer-service-scenario-assessment/,Yes,No,20 minutes,Behavioral,Evaluates customer service decision-making and behavior.
Verify Interactive Numerical Reasoning,https://www.shl.com/en/assessments/verify-interactive-numerical-reasoning/,Yes,Yes,15 minutes,Cognitive Ability,Dynamic test assessing numerical reasoning with interactive tools.
Verify Inductive Reasoning (Interactive),https://www.shl.com/en/assessments/verify-inductive-reasoning-interactive/,Yes,Yes,15 minutes,Cognitive Ability,Interactive assessment for abstract and pattern-based reasoning.
